Date,CrudeOil,SPX,RigCount,API,FieldProduction,RefinerNetInput,OperableCapacity,Imports,StocksExcludingSPR,NonCommercialLong,NonCommercialShort,CommercialLong,CommercialShort,TotalLong,TotalShort,NonReportablePositionsLong,NonReportablePositionsShort,OpenInterest
1/27/2017,0.02488,0.80663,0.02594,0.49534,0.00516,-0.00627,-0.00113,0.0579,0.01307,0.02246,-0.01863,0.02749,0.02977,0.01619,0.01658,0.04134,0.03439,0.01721
2/3/2017,0.00395,-0.15216,0.02388,0.59241,-0.00702,-0.0034,-0.0057,0.11545,0.02719,0.00655,0.16492,0.00416,0.00108,0.00029,0.00514,0.17129,0.06867,0.00743
2/10/2017,-0.00862,0.75935,0.01646,-0.43159,0.00011,-0.02814,-0.02693,-0.10376,0.01839,0.03029,-0.06518,0.06281,0.0515,0.00959,0.00513,-0.15808,-0.0911,0.00145
2/17/2017,0.00605,1.81802,0.0135,12.24434,-0.00267,-0.01225,-0.01305,-0.16539,0.00109,0.04066,-0.00393,-0.09684,-0.04692,-0.06515,-0.0658,-0.03164,-0.00786,-0.06378
2/24/2017,0.01541,0.94549,0.00399,1.35332,-0.00343,0.02509,0.01977,0.03993,0.00289,-0.02829,0.01695,0.01517,-0.00054,0.01443,0.01714,-0.00491,-0.07862,0.01361
3/3/2017,-0.00833,0.5937,0.00265,0.78431,-0.00616,-0.0111,-0.00116,0.06883,0.01554,-0.01168,-0.00365,0.00535,0.00299,0.01207,0.01465,0.0537,-0.01065,0.0138
3/10/2017,-0.05021,-0.42247,0.01587,22.84557,-0.00231,-0.00129,-0.0094,-0.10061,-0.00045,-0.01731,0.32313,0.09931,0.02047,0.08748,0.08323,0.12463,0.2623,0.08908
3/17/2017,-0.04678,0.33476,0.02734,1.11724,-0.00219,0.02082,0.02632,0.10858,0.00929,-0.02249,0.05517,-0.02215,-0.03174,-0.05493,-0.0551,-0.08967,-0.09156,-0.05648
3/24/2017,-0.0134,-1.07626,0.02535,-1.37245,-0.00197,0.02619,0.02128,-0.01009,0.00162,-0.0119,0.04798,0.0036,-0.01103,0.02123,0.01973,-0.02307,0.00872,0.01933
3/31/2017,0.03051,0.30751,0.01854,2.04089,-0.00565,0.01236,0.01652,-0.04764,0.00292,0.00955,0.00865,-0.00801,-0.01577,0.01326,0.00606,-0.02758,0.15879,0.01158
